chrom	start	end	count	sample	annotation
chr12	6571420	6586620	246	CTRL_rep1	known
chr12	6571420	6586620	278	CTRL_rep2	known
chr12	6571420	6586620	263	KD_rep1	known
chr12	6571420	6586620	238	KD_rep2	known
chr12	6586807	6590207	192	CTRL_rep1	known
chr12	6586807	6590207	228	CTRL_rep2	known
chr12	6586807	6590207	32	KD_rep1	known
chr12	6586807	6590207	35	KD_rep2	known
chr12	6590319	6593219	183	CTRL_rep1	known
chr12	6590319	6593219	158	CTRL_rep2	known
chr12	6590319	6593219	27	KD_rep1	known
chr12	6590319	6593219	28	KD_rep2	known
chr12	6593483	6594263	113	CTRL_rep1	known
chr12	6593483	6594263	118	CTRL_rep2	known
chr12	6593483	6594263	87	KD_rep1	known
chr12	6593483	6594263	97	KD_rep2	known
chr12	6594418	6604018	284	CTRL_rep1	known
chr12	6594418	6604018	241	CTRL_rep2	known
chr12	6594418	6604018	324	KD_rep1	known
chr12	6594418	6604018	234	KD_rep2	known
chr12	6604221	6605471	59	CTRL_rep1	known
chr12	6604221	6605471	70	CTRL_rep2	known
chr12	6604221	6605471	67	KD_rep1	known
chr12	6604221	6605471	55	KD_rep2	known
chr12	6605612	6609712	146	CTRL_rep1	known
chr12	6605612	6609712	200	CTRL_rep2	known
chr12	6605612	6609712	156	KD_rep1	known
chr12	6605612	6609712	117	KD_rep2	known
chr12	6586807	6593219	6	CTRL_rep1	novel
chr12	6586807	6593219	5	CTRL_rep2	novel
chr12	6586807	6593219	173	KD_rep1	novel
chr12	6586807	6593219	120	KD_rep2	novel
chr12	6594338	6604018	17	CTRL_rep1	novel
chr12	6594338	6604018	15	CTRL_rep2	novel
chr12	6594338	6604018	13	KD_rep1	novel
chr12	6594338	6604018	11	KD_rep2	novel
chr12	6604221	6605581	9	CTRL_rep1	novel
chr12	6604221	6605581	9	CTRL_rep2	novel
chr12	6604221	6605581	9	KD_rep1	novel
chr12	6604221	6605581	7	KD_rep2	novel
chr12	52300380	52301480	72	CTRL_rep1	known
chr12	52300380	52301480	82	CTRL_rep2	known
chr12	52300380	52301480	77	KD_rep1	known
chr12	52300380	52301480	70	KD_rep2	known
chr12	52301672	52308472	47	CTRL_rep1	known
chr12	52301672	52308472	46	CTRL_rep2	known
chr12	52301672	52308472	50	KD_rep1	known
chr12	52301672	52308472	35	KD_rep2	known
chr12	52308650	52310950	110	CTRL_rep1	known
chr12	52308650	52310950	112	CTRL_rep2	known
chr12	52308650	52310950	94	KD_rep1	known
chr12	52308650	52310950	94	KD_rep2	known
chr12	52311174	52311604	60	CTRL_rep1	known
chr12	52311174	52311604	62	CTRL_rep2	known
chr12	52311174	52311604	58	KD_rep1	known
chr12	52311174	52311604	42	KD_rep2	known
chr12	52301672	52310950	8	CTRL_rep1	novel
chr12	52301672	52310950	9	CTRL_rep2	novel
chr12	52301672	52310950	7	KD_rep1	novel
chr12	52301672	52310950	5	KD_rep2	novel
chr12	52308650	52311070	6	CTRL_rep1	novel
chr12	52308650	52311070	7	CTRL_rep2	novel
chr12	52308650	52311070	5	KD_rep1	novel
chr12	52308650	52311070	6	KD_rep2	novel
